alpha,class,redshift
135.6891066036,GALAXY,0.6347936
144.826100550256,GALAXY,0.779136
142.188789562506,GALAXY,0.6441945
338.741037753146,GALAXY,0.9323456
345.282593210935,GALAXY,0.1161227
5.43317603738404,GALAXY,0.477009
200.290475389797,GALAXY,0.660012
328.092076173419,GALAXY,0.4595958
243.986637469699,GALAXY,0.5914091
331.502029984917,GALAXY,0.1521936
344.984770271278,GALAXY,0.8181597
244.824523050208,GALAXY,0.4849288
167.131668785257,GALAXY,0.1115879
171.975424574048,GALAXY,0.3747563
145.273037350992,GALAXY,0.6623096
241.426267237893,GALAXY,0.03208113
132.922468009168,GALAXY,0.2509563
143.288017625325,GALAXY,0.4612782
140.600038144857,GALAXY,0.6110625
333.311510605612,GALAXY,0.09108476
337.093435465929,GALAXY,0.1482283
252.75854857538,GALAXY,0.3846326
240.213908860967,GALAXY,0.546072
255.574893510297,GALAXY,0.7491816
144.721737004651,GALAXY,0.5091722
44.9233602672725,GALAXY,0.5981273
136.263071151474,GALAXY,0.5215806
140.512982663685,GALAXY,0.1769632
121.610009731402,GALAXY,0.349364
146.925784211642,GALAXY,0.8072085
179.698615035168,GALAXY,0.2701222
332.087156120468,GALAXY,0.5719764
188.068001246379,GALAXY,0.5932347
40.7957426727124,GALAXY,1.065883
129.628095454774,GALAXY,0.3208058
129.199020520055,GALAXY,0.3466544
341.391899140769,GALAXY,0.8201154
355.175131716811,GALAXY,0.5075994
5.01661810379198,GALAXY,0.2520262
117.825452528454,GALAXY,0
7.29516796176921,GALAXY,0.5326954
242.073562865175,GALAXY,0.1566293
238.485802442414,GALAXY,0.5283154
246.438875455855,GALAXY,0.4425065
230.213266649179,GALAXY,0.272813
252.654652461705,GALAXY,0.5948668
240.664802982589,GALAXY,0.08925132
192.345064572835,GALAXY,0.3488444
241.437320130156,GALAXY,0.5246236
254.35329971425,GALAXY,0.1709112
229.608688197762,GALAXY,0.08400773
252.410933478933,GALAXY,0.2538029
